Hindi,English
ढील ,relaxation 
फ्राँ ,fr 
सर्जन ,surgeon 
बिड ,bid 
स्लॉट ,slot 
आईई ,IE 
परिरक्षित ,preserved 
साइक्स ,sykes 
प्लूटोनियम ,plutonium 
लाइटनिंग ,lightning 
टेक-52 ,Tech-52 
मैल्कम ,malcolm 
बिखरा ,scattered 
स्वात ,Swat 
नैव ,hardly 
इग्निशन ,ignition 
ओल्सन ,olson 
टेलीमेटरी ,telemetry 
कक्षीय ,orbital 
उद्धत ,insolent 
अनबाउंड ,unbound 
शेरों ,lions 
गिन्नी ,Ginny 
वाटरलू ,Waterloo 
समितियों ,committees 
आंकी ,estimated 
स्तवन ,eulogy 
प्रतीकात्मक ,symbolic 
अग्निकाण्ड ,fire 
कोबराज ,Cobra 
फुसलाना ,to coax 
छोड़ेगा ,will leave 
कोलेस्ट्रॉल ,cholesterol 
चेकप्वाइंट ,checkpoint 
कट्टर ,staunch 
निष्प्रभावी ,ineffectual 
टंगस्टन ,tungsten 
रॉड ,Rod 
सैटेलाइट ,satellite 
ग्रन्ट ,Grunt 
इजराइल ,israel 
हैच ,hatch 
पीठासीन ,presiding 
स्वदेश ,home country 
घोर ,severe 
डीओडी ,DOD 
पैटन ,Patton 
जताते ,expressing 
अपतटीय ,offshore 
उलझे ,entangled 
संवादी ,conversationalist 
वाक्यांशों ,phrases 
टकसालों ,mints 
कॉनरोड ,Conrad 
इयरफ़ोन ,earphones 
अग्रगामी ,pioneer 
शामक ,sedative 
लटकन ,Pendant 
सूचियों ,lists 
आफ ,of 
किनारा ,Edge 
एंडगेम ,endgame 
अन्धे ,blind 
मंत्रिमंडल ,cabinet 
बर्नेट ,burnett 
अतार्किक ,illogical 
हिक्स ,hicks 
ट्यूनिस ,Tunis 
अनुक्रमिक ,Sequential 
संचरण ,transmission 
मैंस ,Mains 
जलगति ,water movement 
घटकों ,components 
ट्यूनर ,tuner 
अधिरोहित ,overpowered 
कमजोरियों ,weaknesses 
भड़कीला ,flashy 
स्पिट्जर ,Spitzer 
हैंडगन ,handgun 
मोहरे ,pawns 
लुभाती ,alluring 
गिजेला ,Giselle 
वर्ड ,Word 
हाथीदांत ,ivory 
मोबी ,Moby 
क्लाऊस ,Klaus 
ईए ,ea 
बहासा ,Bahasa 
आरएसओ ,rso 
किराने ,grocery 
ड्राइवरों ,drivers 
महाद्वीपों ,continents 
मकाउ ,Macau 
पेंटहाउस ,Penthouse 
नौका ,boat 
ओवरलैपिंग ,overlapping 
वाउचर ,voucher 
केसिनो ,casinos 
एसएएस ,SAS 
बसरा ,Basra 
पंचिंग ,punching 
सरलतम ,the simplest 
ओक्स ,oaks 
हॉकी ,Hockey 
आकस्मिकता ,contingency 
काहिरा ,cairo 
बाउंस ,bounce 
खोजक ,finder 
जुआरी ,the gambler 
प्रीमियम ,premium 
निर्दिष्ट ,specified 
निवल ,net 
विवेकपूर्ण ,Prudent 
कलेक्टिव ,collective 
कराएंगे ,will get it done 
अटॉर्नी ,attorney 
समायोज्य ,adjustable 
मायरा ,Myra 
संदेशों ,messages 
अभियोग ,indictment 
देनदार ,debtor 
करदाता ,tax payer 
बुरादा ,sawdust 
दंपति ,couple 
गार्निश ,Garnish 
महंगाई ,Dearness 
धारणाधिकार ,Lien 
म्यूचुअल ,mutual 
मुकदमों ,lawsuits 
धनिकवत् ,Like a rich man 
रुबिन ,Rubin 
क्लिंटन ,clinton 
एनएफ ,NF 
इक्विटी ,equity 
ग्रीनस्पैन ,greenspan 
हेज ,Hedge 
एडीए ,ADA 
अविनियमित ,Unregulated 
कोषागार ,Treasury 
डोड ,Dodd 
पोर्टफोलियो ,portfolio 
बँट ,divided 
स्नोबॉल ,snowball 
ऐनक ,Glasses 
संपत्तियों ,properties 
पॉलसन ,paulson 
ओवरटाइम ,Over Time 
अवाक ,speechless 
गाड़ियों ,trains 
अस्तित्वहीन ,non-existent 
बेचें ,sell 
भार्गव ,Bhargava 
प्रदेशों ,territories 
आयोगों ,commissions 
टिकिया ,cake 
सुविधानुसार ,as per convenience 
गढ़े ,fabricated 
पासाडेना ,Pasadena 
बलपूर्वक ,forcefully 
फ़्लिप ,flipped 
ढकेलने ,to push 
हेम ,hem 
चायदान ,teapot 
धडक ,strike 
काउंटियों ,Counties 
डेवलपर ,developer 
डींग ,brag 
सायबान ,penthouse 
गैंगस्टर ,Gangster 
अपनाई ,Adopted 
सर्पिल ,spiral 
डाउनग्रेड ,downgrade 
चेस ,Chase 
फौजदारी ,criminal 
भगाओ ,chase away 
कीथ ,keith 
छर्रे ,shrapnel 
झींगा ,shrimp 
रात्रिभोज ,dinner 
पकड़ता ,catches 
रूबेन ,reuben 
एसटीडी ,std 
बारबाडोस ,barbados 
आईलैंड ,island 
आईएनएस ,INS 
दलाली ,brokerage 
सिमॉन ,simon 
बीफ ,beef 
रिकर ,Riker 
बस्ट ,bust 
खिले ,bloomed 
लोभ ,greed 
रेजर ,razor 
टीका ,Criticism 
मार्बल ,marble 
रोमियो ,Romeo 
परिचर ,attendant 
स्र्ग्ण ,sick 
घनिष्ठता ,closeness 
नेकेड ,naked 
माजा ,Maja 
सुकून ,Peace 
परिहास ,joke 
लीवर ,Lever 
पेरे ,Pere 
लटके ,hanging 
सिस्टिन ,Sistine 
प्रथा ,custom 
पूर्णकालिक ,full time 
धागे ,threads 
उतरेगा ,will descend 
बेर ,Berry 
निद्रावस्था ,somnambulism 
वर्णित ,described 
टोड ,toad 
निभाता ,fulfills 
सूरजमुखी ,Sunflower 
टाइल ,tile 
बछड़ों ,calves 
आराधना ,worship 
गाग ,Gag 
मोदिग्लिआनी ,modigliani 
मानेट ,manet 
देगास ,degas 
त्यागने ,to give up 
टपकाने ,to drip 
वोल्टेज ,voltage 
दवे ,dave 
बूझकर ,on purpose 
मैथ्यू ,Matthew 
जुट ,gather 
प्रतिभूतियों ,securities 
विनियमन ,regulation 
निवेशक ,investor 
फर्मों ,firms 
मेरील ,Meryl 
ब्यौरा ,details 
ज्ञापन ,memorandum 
कंडक्टर ,conductor 
अनलोड ,Unload 
साधने ,tools 
शर्करा ,sugar 
गर्भावस्था ,pregnancy 
पुनर्निर्धारित ,rescheduled 
मीट्रिक ,metric 
चालान ,invoice 
संरचित ,structured 
पुनरावृत्ति ,recurrence 
चबाने ,chewing 
सिल्वराडो ,Silverado 
एचएएल ,HAL 
महासंघ ,Federation 
माणिक ,Ruby 
हवालात ,lock up 
प्लायमाउथ ,Plymouth 
स्प्रिंग्स ,springs 
पागलखाना ,mental asylum 
समीप ,near 
शूरवीरों ,knights 
टमप्लर ,templar 
अर्ध ,half 
भिखारियों ,beggars 
जन्मजात ,congenital 
पेंसिल्वेनिया ,pennsylvania 
बादनुमा ,Badanuma 
निंदासा ,blasphemy 
स्नूपिंग ,snooping 
रेडियेटर ,radiator 
काल्डवेल ,Caldwell 
16वीं ,16th 
प्रत्याशा ,anticipation 
आईपी ,ip 
फ़र्क़ ,Difference 
फ़ाल्कन ,the falcon 
उथल-पुथल ,upheaval 
जाम- ,Jam- 
फ़ोर्सेज़ ,forces 
हॉक्स ,Hawks 
संभाले ,handle 
जैफ़रसन ,jefferson 
पहुंचनी ,to reach 
लॉक्ड ,locked 
गुत्थमगुत्था ,Grappled 
सबपे ,subpay 
सीक्वेंस ,sequence 
ओहायो ,ohio 
ज़मीनी ,ground 
मुझे- ,Me- 
मैगज़ीन ,magazine 
गुज़रना ,to go past 
पुनर्निर्वाचन ,re-election 
लेफ़्टिनेंट ,Lieutenant 
निबटाएं ,deal with 
गॉल्फ़ ,golf 
आख़िरकार ,after all 
ख़मियाज़ा ,drawback 
समझोगी ,will you understand 
हर्जाना ,Damages 
जेराल्ड ,Gerald 
कैमरोन ,cameron 
फ़ोर्ड ,ford 
कॉलफ़ील्ड ,caulfield 
-वर्ना ,-otherwise 
दिमाग़ ,brain 
फ़ख़्र ,pride 
दौड़ते ,running 
मां-बाप ,parents 
लाएं ,bring 
ट्रंक्स ,trunks 
बेबीसिटर ,babysitter 
प्रायद्वीप ,Peninsula 
भेजिए ,send 
डैफ़कॉन ,dafcon 
डैक ,DAC 
अलबुकर्की ,albuquerque 
अब्बास ,Abbas 
कमीनी ,bitch 
भेजेगी ,will send 
राष्ट्रपतियों ,Presidents 
उठिए ,get up 
गिराऊंगा ,will fall 
राफ़ेल्सन ,Rafelson 
युद्धक्षेत्र ,Battle Field 
लहरा ,hoist 
ऑनेस्ट ,honest 
उदघाटन ,opening 
इस- ,This- 
नेकदिल ,good hearted 
हरामज़ादे ,Bastards 
सबमें ,in all 
कॉलोनेड ,colonnade 
सीढ़ियां ,stairs 
ज़िंदगियों ,lives 
एल्फ़ा ,alpha 
एहतियातन ,precautionary measure 
बढ़ूंगा ,will grow 
गिनना ,to count 
डिलीट ,delete 
ब-बाइ ,b-bye 
हृदयगति ,Heart rate 
आपमें ,in you 
हौसला ,encouragement 
देशभक्त ,the patriot 
सिटिंग ,sitting 
बजने ,to ring 
मैंटल ,mantle 
क्लॉक ,clock 
लेलो ,Take 
पहुंचूं ,should reach 
रिज़र्व ,reserve 
मोमबत्तियां ,candles 
-कि ,-That 
47वें ,47th 
क़ुर्बानियों ,sacrifices 
उतरें ,get down 
निकोरेट ,Nicorette 
क़रीबी ,close 
सैल ,loose 
पहुंचाऊंगी ,I will deliver 
उसपे ,on that 
सैन्य-औद्योगिक ,military-industrial 
-लोग ,-People 
फ़ुटेज ,footage 
वेब-जगत ,web world 
-एमिली ,-Emily 
लुइविल ,louisville 
वाटकिंस ,Watkins 
कोडेड ,coded 
-और ,-And 
किशोरी ,teenager 
मनाती ,Manati 
थैंक्सगिविंग ,thanksgiving 
फ़ेयरफ़ैक्स ,fairfax 
सतह-से-वायु ,surface-to-air 
मिसाइलें ,missiles 
भेजकर ,by sending 
पोसी ,Posy 
कॉमिटैटस ,comitatus 
इन्सरेक्शन ,insertion 
सरज़मीन ,land 
जंगी ,warlike 
संशोधन ,Revision 
चरमराकर ,creakingly 
किनसे ,from whom 
स्टेट्स ,States 
नक़दी ,cash 
बोइंग ,boeing 
सी-17 ,C-17 
लादकर ,after loading 
वन-नाइनर ,One-Niner 
खींची ,pulled 
डाइनोसॉर ,dinosaur 
तरीक़ों ,methods 
डाकख़ाने ,post office 
सबर्बन ,Suburban 
फ़व्वारा ,fountain 
समझदारी- ,agreement- 
पोज़ीशन ,position 
निर्भर- ,Dependent- 
आर.पी.जी. ,R.P.G. 
हरामज़ादों ,scoundrels 
सख़्त ,strict 
ज़ॉम्बीज़ ,zombies 
-व्हाइट ,-white 
बाल्कनी ,balcony 
लीमोज़ीन ,limousine 
मारेंगे ,will kill 
भागदौड़ ,running around 
पहुंचाओ ,deliver 
निष्ठापूर्वक ,Sincerely 
रोज़-रोज़ ,every day 
सी4 ,C4 
रुकूंगा ,I will wait 
पहुंचोगे ,will reach 
बंदों ,guys 
सर्न ,to move 
गोरा-शक्ति ,blonde power 
हैकरों ,hackers 
एन.एस.ए. ,NSA 
एपल ,Apple 
हेडक्वार्टर ,headquarters 
म्युज़िक-शेयरिंग ,music-sharing 
अगोपनीय ,non confidential 
अनाधिकारिक ,unofficial 
हत्याएं ,murders 
समेत ,including 
तालिबान-नियंत्रित ,Taliban-controlled 
ख़तरों ,dangers 
फ़हरिस्त ,list 
कीपैड ,keypad 
अंडाकार ,oval 
मरेगी ,will die 
साइबर ,cyber 
जांचना ,to check 
निशस्त्र ,unarmed 
अथाह ,immeasurable 
ओकिनावा ,Okinawa 
अंकन ,marking 
गेंस ,Gaines 
घर्षण ,friction 
नब्बे ,ninety 
फुर्तीला ,agile 
उत्थान ,rise up 
फाइबर ,fiber 
स्प्रिंट ,sprint 
चिढ़ा ,teasing 
इस्लामाबाद ,islamabad 
सिफारिशें ,recommendations 
टेम्पेस्ट ,Tempest 
गणमान्य ,dignitary 
एंजल ,angel 
डोजो ,Dojo 
जे-z ,j-z 
टकराया ,bumped into 
डायरेक्ट ,direct 
कीलें ,nails 
कहनेवाला ,the teller 
जौव ,jove 
हैंडशेक ,handshake 
गुआम ,Guam 
फासीवादी ,fascist 
बारकोड ,barcode 
विजुअल्स ,visuals 
जेनेटिक ,genetic 
उभरती ,emerging 
स्टैंडर्ड ,standard 
सेन्सेई ,Sensei 
दाहिना ,right 
फिनिशिंग ,finishing 
शव ,dead body 
माइनस ,Minus 
मोड़ना ,flex 
कलाम ,Kalam 
टेंगोस ,tangos 
उग्रवादियों ,militants 
पूर्वाग्रह ,prejudice 
कुरकुरा ,crisp 
सिंथेटिक ,synthetic 
तड़पना ,yearn for 
मसौदा ,contract 
किआ ,did 
एरियल ,aerial 
मर्यादित ,Limited 
पील ,Peel 
संतरी ,sentry 
फुफकार ,hiss 
पालथी ,palathi 
शिकन ,wrinkle 
रयान ,Ryan 
माइली ,Miley 
आरईसी ,rec 
आर्मर ,armor 
अभिजात ,Classy 
वार्तालापों ,conversations 
परिमार्जन ,modification 
शेफ ,chef 
टिनी ,tiny 
बाम ,Bam 
चोटें ,injuries 
रिवेरा ,riviera 
गम्बो ,Gumbo 
पेस्ट्री ,pastry 
आर्द्रता ,Humidity 
बैरोमीटर ,barometer 
बेईमान ,Dishonest 
किट्टी ,kitty 
माइक्रोटेक्नोलोजी ,microtechnology 
अकृतज्ञ ,ungrateful 
बोनो ,Bono 
wifey-छी ,wifey-chi 
दस्तों ,squads 
पहुँचें ,reach 
गर्भनाल ,umbilical cord 
बांस ,bamboo 
लेप्रोस्कोपिक ,laparoscopic 
गुहा ,cavity 
वेल्डर ,welder 
शेल्डन ,Sheldon 
नोम ,nome 
ललक ,longing 
पारियों ,shifts 
तांग ,tang 
मेघ ,cloud 
कोव ,the cove 
एलेक्सिस ,Alexis 
वारहेड ,warhead 
टीएनटी ,tnt 
क्रू ,crew 
किस्में ,Varieties 
अन्तर्ग्रथन ,Synthesis 
आज्ञाकारिता ,Obedience 
ललाट ,frontal 
साइबेरियाई ,siberian 
व्लादिवोस्तोक ,Vladivostok 
गेज ,gauge 
लिट ,Lit 
फैलेगी ,will spread 
टैक्नॉलोजी ,technology 
हैसियत ,position 
इज़रायल ,israel 
फ़्रांस ,France 
टेक्टोनिक ,tectonic 
विदर ,fissure 
मनिला ,Manila 
काबो ,cabo 
ए.एम. ,A.M. 
पायदान ,Footboard 
एथलीटों ,athletes 
एलिसन ,alison 
युग्मन ,pairing 
संचारण ,transmission 
छिछले ,shallow 
उथले ,shallow 
पालि ,the shift 
ख़ुदा ,god 
ट्रांसमीटरों ,transmitters 
ट्यून ,tune 
बरखास्त ,dismissed 
गुंबद ,Dome 
अनुपालन ,compliance 
रेंगने ,crawling 
लाचारी ,helplessness 
सीमावर्ती ,borderline 
नाराजगी ,displeasure 
ब्रुकलिन ,brooklyn 
उपास्थि ,cartilage 
घन ,Solid 
रीरूट ,reroot 
न्यूक्लियर ,nuclear 
भड़क ,got angry 
वेंट ,vent 
कूलेंट ,Coolant 
कार्यक्षमता ,Efficiency 
तिल्ली ,spleen 
चौ ,Chau 
परजीवी ,parasite 
छल्ली ,cuticle 
घबड़ाया ,panicked 
छापों ,impressions 
पाशविक ,brute 
उपनिवेशों ,colonies 
ओजोन ,ozone 
रिक्तीकरण ,depletion 
मोनोऑक्साइड ,monoxide 
प्रदूषित ,polluted 
किरायेदारों ,tenants 
बेअसर ,ineffective 
फोंग ,Phong 
टुल ,Tool 
कैलिब्रेशन ,calibration 
अवरोधक ,blocker 
फ़ारिग़ ,Farig 
अमान्य ,Invalid 
लसीका ,lymph 
प्रवाह ,Flow 
चालबाज़ी ,trickery 
बाधाओं ,obstacles 
आंदोलनों ,movements 
पैरामस ,Paramus 
चिली ,chile 
जीएमओ ,GMO 
सूपरमार्केट ,Supermarket 
बेकन ,Bacon 
रज़ामंद ,agreeable 
परम्पराएँ ,traditions 
एथिलीन ,ethylene 
बनातीं ,makes 
घटनाएँ ,events 
लूस ,loos 
बतंगड़ ,ruckus 
बैलाक्लावा ,balaclava 
नेपाम ,napalm 
चमड़ी ,skin 
पिघलकर ,melted 
वायरलेस ,wireless 
काबिलियत ,ability 
फैलाए ,spread out 
चिड़ियाघरों ,zoos 
ब्यौरे ,details 
ज़रिये ,via 
चिड़चिड़ा ,Irritable 
मुटल्ली ,Mutalli 
बड़े-बूढ़े ,elders 
तोहफ़े ,gifts 
हाथ-पाँव ,hands and feet 
पिंजरा ,cage 
पुट्ठा ,putta 
इन्स्टाग्राम ,instagram 
बुढ़ऊ ,old man 
मुआवज़ा ,Compensation 
बचो ,escape 
सहलाओ ,caress 
मलदार ,Maldar 
कौनसा ,Which one 
पसली ,rib 
तराशने ,to carve 
अनेक ,Many 
दूरदर्शी ,visionary 
टिप्पणियाँ ,notes 
धुली ,washed 
फासला ,distance 
बढ़ाती ,increases 
करवाता ,gets it done 
करवाएँगे ,will get it done 
असह्य ,intolerable 
गोलमटोल ,chubby 
दिलेरी ,boldness 
हस्तियों ,celebrities 
क्रांतिकारियों ,revolutionaries 
लौटाएँगे ,will return 
नर्क-तुल्य ,hellish 
पहुँचाऊँ ,deliver 
दिखनी ,to be seen 
सहकर्मियों ,colleagues 
40-साल ,40 years 
छाई ,dominated 
नैन्स ,nance 
मिचलाने ,to feel nauseous 
विसर्जित ,dissolve 
एग्रोकैमिकल ,Agrochemical 
लुभावने ,breathtaking 
मिटाएगा ,will erase 
झमेले ,the mess 
डूबेगी ,will sink 
आज़मा ,try out 
फ़रिश्ता ,angel 
चहेता ,favorite 
रोना-धोना ,crying 
करवाओ ,get it done 
वीज़ा ,visa 
थोपना ,to impose 
बेनेटन ,benetton 
बुलाएँगे ,will call 
इंस्टाग्राम ,Instagram 
टम्बलर ,tumbler 
फ़ार्मों ,farms 
फ़िल्माओ ,film 
सोजू ,soju 
उपापचय ,metabolism 
रेडकोट्स ,redcoats 
पैनाया ,sharpen 
मरें ,die 
कर्सेस ,Curses 
लेवेन ,levain 
एंकर ,anchor 
बारबोसा ,barbarossa 
स्माइल ,smile 
हॉलैंडवासी ,dutchman 
बेनाम ,nameless 
खुरजी ,itch 
शांतिप्रिय ,peaceful 
खोदते ,digging 
अनिच्छुक ,reluctant 
परिमाण ,dimension 
अंकगणित ,arithmetic 
काँटे ,thorns 
पछता ,regrets 
मांगूंगा ,I will ask 
ट्रेंट ,Trent 
झुकती ,bending over 
हॉरॉलॉजी ,horology 
अलौकिक ,divine 
टखनों ,ankles 
रेमा ,Rema 
अंडरवियर ,underwear 
हॉरोग्लॉस्ट ,Horoglast 
स्क्रम ,scrum 
वर्डोज़ ,Verdos 
अरूबा ,aruba 
केली ,made 
वर्डुगो ,Verdugo 
सलज़ार ,salazar 
पोसिदोन ,Poseidon 
ब्लैकबेर्ड ,blackbeard 
सरका ,moved 
अपूर्ण ,incomplete 
रीस्ताब्लिशिंग ,Reestablishing 
मार्बलिंग ,Marbling 
नौसेनाओं ,navies 
वॉलकान ,Vulcan 
कारोबारी ,businessman 
उसूल ,principle 
दूरदर्शिता ,foresight 
जूझते ,battling 
चिलीयन ,chilean 
रैंच ,Ranch 
देख-समझ ,seeing and understanding 
इग्ज़ेक्युटिव ,Executive 
प्रचलित ,prevalent 
विल्कॉक्स ,wilcox 
मछलियाँ ,fishes 
सैन्यंग ,Sanyang 
कागज़ी ,paper 
बोंग ,bong 
रेटीना ,retina 
डिस्प्ले ,display 
ऑफ़िसों ,offices 
उसूलों ,principles 
रंगी ,colored 
फ़ैक्टरी ,factory 
ब्रान ,bran 
अंकित ,Ankit 
चौराहे ,intersection 
गलाकाट ,cut throat 
लड़ूंगा ,I will fight 
कृमि ,worm 
अपनाएं ,adopt 
हाउंड ,hound 
पिलाया ,fed to 
सुदृढ़ ,strong 
टायरेल ,Tyrell 
भाले ,the rooster 
बिच्छू ,Scorpion 
बायोटेक ,biotech 
पीची ,Peachy 
डिलाइट ,Delight 
बेकिंग ,Baking 
मेस्टर ,Meister 
शैक्षणिक ,Educational 
धम्म ,Dhamma 
पिंडली ,shin 
अबाध ,uninterrupted 
दिशानिर्देश ,guidance 
सरप्राइज़ ,surprise 
भोजनावकाश ,lunch break 
एनी ,Annie 
झाँका ,peek 
गयाi ,gone 
गुनाह ,crime 
असीम ,Asim 
संबन्धित ,related 
जुटाता ,gathers 
स्वभावपूर्ण ,temperamental 
दिमागियों ,brains 
एवार्ड्स ,Awards 
कुरूप ,ugly 
डरावने ,scary 
महल-निवास ,palace residence 
दुर्घटनावश ,by accident 
अक्खड़ ,rude 
रबड़ ,rubber 
तीन-सितारा ,three stars 
बैंडविड्थ ,Bandwidth 
गंवार ,boorish 
थोरण्डन ,Thornton 
फ्यूज़ ,fuse 
छिछोरी ,Chhichori 
बीतने ,passing 
सैपियंस ,sapiens 
जुड़कर ,by joining 
जंपर्स ,jumpers 
अजीज ,Aziz 
ग्लानि ,guilt 
थायरॉयड ,thyroid 
अनाड़ीपन ,clumsiness 
गोरिल्ला ,Gorilla 
भ्रष्टता ,corruption 
निंदापूर्ण ,blasphemous 
छड़ी ,stick 
ऊबा ,bored 
लिएi ,fori 
प्रेरणास्पद ,inspiring 
ज़ोरदार ,vigorous 
एवार्ड ,Award 
स्टीक ,Steak 
एण्ड्रेयु ,andrew 
घमंड ,Pride 
गरिमामयी ,dignified 
बढ़ाया ,increased 
सनशाइन ,Sunshine 
ज़बरदस्त ,fantastic 
आत्मपदोन्नति ,Self-promotion 
लेफ़िनेंट ,Lieutenant 
बोलोक्स ,bollocks 
अदत्त ,unpaid 
अपनेआप ,yourself 
दुखपूर्ण ,Sad 
संजीदगी ,seriousness 
दक्षिणपश्चिम ,Southwest 
मैकफक ,Mcfuck 
स्क्रूज ,scrooge 
पॉप्स ,pops 
केम्सफोर्ड ,Kemsford 
रमाडा ,Ramada 
ओक्टेन ,octane 
संगीतकारों ,musicians 
संगीतकर ,Musician 
कपटी ,a hypocrite 
थीi ,thii 
एबाउट ,about 
टु ,To 
रूखी ,dry 
सामन्था ,Samantha 
पड़ोसन ,Neighbor 
नपुंसकता ,impotence 
चुलबुली ,bubbly 
बांटेंगे ,will share 
शैंपैन ,Champagne 
विडोमेकर ,widowmaker 
छेड़छाड़ ,Molestation 
रहस्यमयी ,mysterious 
निखार ,shine 
सबूतों ,evidences 
बे-ड़ा ,be-da 
ग-र्क ,g-rk 
सुरक्षाबल ,security forces 
रायता ,Raita 
ए-24 ,A-24 
घुसपैठिए ,intruder 
सनसनीखेज ,sensational 
साथियो ,friends 
जांघ ,Thigh 
आलीशान ,luxurious 
मेक्सिकियों ,Mexicans 
गुदा ,anus 
चीखों ,screams 
मिलीं ,found 
मध्य-पश्चिम ,middle West 
मेहनतकश ,hard worker 
सूपरस्टार ,superstar 
सुलाऊँगी ,I will sleep 
कर्ता-धर्ता ,doer 
मरोगी ,Morogi 
स्वाद-परीक्षक ,taste tester 
घोपूँगा ,will hit 
वाजिब ,reasonable 
पले-बढ़े ,grew up 
चखें ,taste it 
झालरें ,fringes 
ढिंढोरा ,Trumpet 
पीटती ,Beating 
फ़ैनी ,fanny 
फ़ैशन ,fashion 
ए.एल.एफ. ,A.L.F. 
जीएम ,GM 
घबराते ,nervous 
बेजोड़ ,unmatched 
दूर-सुदूर ,far away 
साहबों ,sirs 
सिजिन ,Sijin 
पुट्ठे ,buttocks 
मैथ्यूज़ ,Matthews 
डुबोकर ,after dipping 
विरामस्थल ,punctuation mark 
प्रोसी ,Prosi 
बेबीज़ ,babies 
अनुबंधित ,contracted 
स्वागती ,welcome 
नक़ल ,imitation 
एल्फ ,elf 
हाइज़र्ड ,Hazard 
नट ,the nut 
3स ,3 S 
8स ,8s 
गोलक ,sphere 
मैदानी ,plains 
आमने-सामने ,face to face 
पैजामा ,trousers 
केमफ़ोर्ड ,chemford 
बीस्टमास्टर ,beastmaster 
जानोगे ,you will know 
मूलरूप ,archetype 
डीवी27 ,DV27 
ठगते ,Cheating 
ईर्ष्यालु ,jealous 
डुबाते ,drowning 
रखताi ,keeps 
झाड़ी ,bush 
एंडरेक्स ,andrex 
श्वेत ,white 
फ्लाईओवर ,flyover 
कोडेक ,Codec 
कोजक ,Kojak 
इयरविगर्स ,earwiggers 
रोजर-रोजर ,roger-roger 
स्मोकी ,smokey 
बैंडिट ,Bandit 
डकी ,ducky 
बैंडचौड़ाई ,Bandwidth 
मौंटेड ,mounted 
झाड़ियों ,bushes 
योग्यतम ,fittest 
शर्मिन्दा ,embarrassed 
केबलों ,cables 
स्विट्जरलैंड ,Switzerland 
ऑक्सफोर्ड ,oxford 
नॉर्मन ,norman 
भिन्नता ,difference 
मद्यपान ,Alcoholism 
अचरज ,Surprise 
विचलन ,deviation 
जिनेवा ,geneva 
लॉकहीड ,lockheed 
मेमसाहब ,Memsaheb 
प्रक्षेपास्त्रों ,missiles 
अपेक्षाओं ,expectations 
आनुवंशिकी ,genetics 
म्यूटेशन ,mutation 
कब्ज़ा ,capture 
बिटबर्गर ,bitburger 
कम्युनिस्ट ,Communist 
अर्जेन्टीना ,argentina 
x-पुरुष ,x-men 
संजीव ,Sanjeev 
रुकावटों ,obstructions 
दौड़े ,ran 
चौकोर ,square 
घुमावदार ,Circle 
घुप्प ,ghupp 
टॉर्च ,torch 
खालीपन ,void 
फिनलैंड ,finland 
फ़ंस ,trapped 
रोवन ,Rowan 
एन.पोवेर ,N.Power 
बनानी ,to make 
सम्म्लेन ,do not agree 
रिसाइकिल ,recycle 
पाइये ,Get 
जुड़िए ,join in 
बाढ़ ,flood 
ब्रीडर्स ,breeders 
फ्रेंकस्टीन ,frankenstein 
पिओ ,drink up 
घुसपैठिया ,intruder 
केन्द्रज ,center 
क्वीन्स ,queens 
परती ,fallow 
म्यूटेंट ,mutant 
अमेरिकन ,American 
रॉकेट्स ,rockets 
प्रांगण ,courtyard 
केजीबी ,kgb 
निरंकुश ,despotic 
युद्धपोत ,battleship 
प्रतिध्वनित ,resonate 
हाइड ,Hyde 
मापा ,measured 
शोषक ,exploiter 
उड़ेगा ,will fly 
डारविन ,darwin 
झांकने ,peeping 
आउ ,come on 
उत्परिवर्तनों ,Mutations 
वा ,or 
डेम्स ,dames 
पेकान ,pecans 
प्रतिभावान ,talented 
प्रकटन ,appearance 
गांठदार ,kinky 
अधिष्ठापन ,installation 
टेलिपाथिक ,telepathic 
प्रतिष्ठानों ,establishments 
इलेक्ट्रोड ,electrode 
म्यू ,Mu 
ग्रीष्मकाल ,Summer 
प्रवर्धित ,amplified 
परिश्रमी ,hard working 
सोशलिस्ट ,socialist 
गणराज्यों ,republics 
सिने ,cine 
बंट ,distribute 
जिन्होनें ,those who 
ग्रो ,grow 
सिद्धांतो ,principles 
इंटज़ार ,waiting 
सुनेंगी ,will listen 
कैमेरे ,cameras 
महत्तव ,importance 
बताएँगे ,will tell 
स ,S 
चढ़कर ,by climbing 
चीफ़ ,Chief 
पँहुचे ,reach 
हथकड़ियाँ ,handcuffs 
डेढ़ ,one and a half 
बिठा ,sit down 
पकड़ते ,catching up 
उनकीं ,their 
दमन ,repression 
लॉ ,Law 
दंगा-नियंत्रण ,riot control 
जुटे ,gathered 
निकालूंगी ,I will take it out 
फ़ेंक ,throw 
खोलिए ,opened up 
विस्फ़ोटक ,blaster 
फ़ॉर ,for 
हिप्पियों ,hippies 
सकड़ों ,hundreds of 
कूदी ,jumped 
आतंकवाद-विरोधी ,anti terrorism 
कार्ड-धारक ,card holder 
छोड़ेंगी ,will leave 
चुपके-चुपके ,in hiding 
फ़ंसाने ,to trap 
गुआंटनामो ,Guantánamo 
ग़ैर-ज़िम्मेदारों ,irresponsible 
शेल ,Shell 
झांसा ,bluff 
पातीं ,could have 
फ़र्श ,floor 
रोबोकॉप ,RoboCop 
निर्धारक ,determiner 
छूटे ,left out 
असेंबली ,assembly 
ग्रीनहाउस ,Greenhouse 
